stock,change,month,year,status
pgas,6.15,8,2021,positive
pgas,-2.99,7,2021,negative
pgas,-9.87,6,2021,negative
pgas,-8.98,5,2021,negative
pgas,-6.84,4,2021,negative
pgas,-8.68,3,2021,negative
pgas,7.06,2,2021,positive
pgas,-18.73,1,2021,negative
pgas,19.06,12,2020,positive
pgas,29.30,11,2020,positive
pgas,16.22,10,2020,positive
pgas,-26.29,9,2020,negative
pgas,-0.79,8,2020,negative
pgas,11.45,7,2020,positive
pgas,31.98,6,2020,positive
pgas,0.58,5,2020,positive
pgas,10.32,4,2020,positive
pgas,-39.45,3,2020,negative
pgas,-24.93,2,2020,negative
pgas,-21.43,1,2020,negative
pgas,13.02,12,2019,positive
pgas,-9.00,11,2019,negative
